CommonName,ScientificName,Number,Number_Per_Party_Hrs,Flags,Editorial_Comments
Common Merganser,Mergus merganser,3,0.056,,
duck sp.,Anatinae sp.,1,0.0187,,
Ring-necked Pheasant,Phasianus colchicus,10,0.1866,,
Ruffed Grouse,Bonasa umbellus,25,0.4664,,
Red-throated Loon,Gavia stellata,1,0.0187,,
Turkey Vulture,Cathartes aura,1,0.0187,,
Northern Harrier,Circus cyaneus,1,0.0187,,
Bald Eagle,Haliaeetus leucocephalus,3,0.056,,
Red-tailed Hawk,Buteo jamaicensis,1,0.0187,,
hawk sp.,Accipitridae sp.,1,0.0187,,
Ring-billed Gull,Larus delawarensis,8,0.1493,,
Herring Gull,Larus argentatus,56,1.0448,,
Great Black-backed Gull,Larus marinus,3,0.056,,
Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),17,0.3172,,
Mourning Dove,Zenaida macroura,12,0.2239,,
Downy Woodpecker,Picoides pubescens,11,0.2052,,
Hairy Woodpecker,Picoides villosus,6,0.1119,,
Pileated Woodpecker,Dryocopus pileatus,3,0.056,,
Blue Jay,Cyanocitta cristata,50,0.9328,,
American Crow,Corvus brachyrhynchos,46,0.8582,,
Common Raven,Corvus corax,11,0.2052,,
Horned Lark,Eremophila alpestris,2,0.0373,,
Black-capped Chickadee,Poecile atricapillus,180,3.3582,,
Boreal Chickadee,Poecile hudsonicus,18,0.3358,,
Red-breasted Nuthatch,Sitta canadensis,16,0.2985,,
Brown Creeper,Certhia americana,1,0.0187,,
Golden-crowned Kinglet,Regulus satrapa,22,0.4104,,
American Robin,Turdus migratorius,12,0.2239,,
European Starling,Sturnus vulgaris,22,0.4104,,
Snow Bunting,Plectrophenax nivalis,1,0.0187,,
American Tree Sparrow,Spizelloides arborea,5,0.0933,,
Dark-eyed Junco (Slate-colored),Junco hyemalis hyemalis/carolinensis,20,0.3731,,
White-throated Sparrow,Zonotrichia albicollis,2,0.0373,,
Song Sparrow,Melospiza melodia,1,0.0187,,
Northern Cardinal,Cardinalis cardinalis,1,0.0187,,
Rusty Blackbird,Euphagus carolinus,1,0.0187,,
Common Grackle,Quiscalus quiscula,4,0.0746,,
Bullock's/Baltimore Oriole,Icterus bullockii/galbula,1,0.0187,,
Pine Grosbeak,Pinicola enucleator,9,0.1679,,
Purple Finch,Haemorhous purpureus,6,0.1119,,
American Goldfinch,Spinus tristis,14,0.2612,,