Site,Richness,TOC,CurrentVariability,MeanTemperature,Type,Country
1,88,1.13,28.2,11,Agricultural,Canada
2,65,0.77,28.7,9.6,Urban,USA
3,50,0.59,37.5,11.2,Urban,USA
4,61,0.77,30.7,8.4,Urban,USA
5,76,1.02,34.5,11.8,Agricultural,Canada
6,80,1.04,38.5,10,Forest,USA
7,72,1,33.6,12.9,Agricultural,Canada
8,48,0.49,37.4,8.5,Urban,Canada
9,68,0.9,43.7,10,Forest,USA
10,64,0.78,34.1,11.5,Agricultural,USA
11,71,0.94,40.3,10.9,Forest,USA
12,59,0.75,38.7,12.4,Urban,Canada
13,79,1.03,44.7,12.6,Forest,Canada
14,82,1.09,43.4,11.3,Agricultural,USA
15,42,0.4,44.8,8.5,Urban,Canada
16,54,0.65,51.3,12.9,Urban,Canada
17,52,0.67,46.8,11.7,Urban,USA
18,70,0.92,53.6,12.4,Agricultural,USA
19,90,1.33,47.1,12.1,Forest,USA
20,69,0.89,47.5,,Forest,Canada
21,55,0.7,47.2,11.6,Agricultural,USA
22,58,0.72,46.6,11.5,Forest,Canada
23,66,0.83,58.8,11.7,Agricultural,Canada
24,87,1.19,49.8,10.8,Forest,Canada