Type,SampleID,StandardConc,Absorbance
Standard,NA,4,0.537
Standard,NA,4,0.528
Standard,NA,4,0.506
Standard,NA,2,0.328
Standard,NA,2,0.324
Standard,NA,2,0.298
Standard,NA,1,0.208
Standard,NA,1,0.204
Standard,NA,1,0.183
Standard,NA,0.5,0.137
Standard,NA,0.5,0.127
Standard,NA,0.5,0.129
Standard,NA,0.25,0.104
Standard,NA,0.25,0.098
Standard,NA,0.25,0.092
Standard,NA,0.125,0.088
Standard,NA,0.125,0.083
Standard,NA,0.125,0.077
Standard,NA,0,0.068
Standard,NA,0,0.061
Standard,NA,0,0.057
Sample,S1,NA,0.1185205
Sample,S2,NA,0.1186854
Sample,S3,NA,0.1120588
Sample,S4,NA,0.1219843
Sample,S5,NA,0.1145484
Sample,S6,NA,0.1091065
Sample,S7,NA,0.1098945
Sample,S8,NA,0.1122149
Sample,S9,NA,0.1074169
Sample,S10,NA,0.1083689
Sample,S11,NA,0.1170579
Sample,S12,NA,0.1109595
Sample,S13,NA,0.2183338
Sample,S14,NA,0.210297
Sample,S15,NA,0.2113175
Sample,S16,NA,0.2112571
Sample,S17,NA,0.2143726
Sample,S18,NA,0.2138973